	Th0_0.5h_1_1	Th0_14h_4_1	Th0_16h_1_1	Th0_16h_7_1	Th0_18h_5_1	Th0_1h_1_1	Th0_20h_5_1	Th0_20h_6_1	Th0_25h_6_1	Th0_2h_2_1	Th0_2h_7_1	Th0_30h_6_1	Th0_30h_9_1	Th0_36h_6_1	Th0_42h_6_1	Th0_42h_7_1	Th0_48h_6_1	Th0_4h_3_1	Th0_54h_6_1	Th0_54h_7_1	Th0_60h_6_1	Th0_72h_6_1	Th0_72h_7_1	Th0_8h_3_1	Th0_8h_8_1	Tr1_0.5h_1_1	Tr1_12h_4_1	Tr1_14h_4_1	Tr1_16h_1_1	Tr1_16h_7_1	Tr1_18h_5_1	Tr1_1h_1_1	Tr1_20h_5_1	Tr1_20h_6_1	Tr1_25h_6_1	Tr1_2h_2_1	Tr1_2h_7_1	Tr1_30h_6_1	Tr1_30h_9_1	Tr1_36h_6_1	Tr1_42h_6_1	Tr1_42h_7_1	Tr1_48h_6_1	Tr1_4h_3_1	Tr1_54h_6_1	Tr1_54h_7_1	Tr1_60h_6_1	Tr1_72h_6_1	Tr1_72h_7_1	Tr1_8h_3_1	Tr1_8h_8_1	Th0_0.5h_1_7	Th0_10h_1_7	Th0_10h_2_7	Th0_12h_1_7	Th0_16h_1_7	Th0_1h_1_7	Th0_1h_2_7	Th0_20h_1_7	Th0_20h_2_7	Th0_24h_1_7	Th0_2h_1_7	Th0_30h_1_7	Th0_30h_2_7	Th0_42h_1_7	Th0_42h_2_7	Th0_48h_1_7	Th0_4h_1_7	Th0_4h_2_7	Th0_50h_1_7	Th0_52h_1_7	Th0_52h_2_7	Th0_60h_1_7	Th0_60h_2_7	Th0_6h_1_7	Th0_72h_1_7	Th0_8h_1_7	Th17_0.5h_1_7	Th17_10h_1_7	Th17_10h_2_7	Th17_12h_1_7	Th17_16h_1_7	Th17_1h_1_7	Th17_1h_2_7	Th17_20h_1_7	Th17_20h_2_7	Th17_24h_1_7	Th17_2h_1_7	Th17_30h_1_7	Th17_30h_2_7	Th17_42h_1_7	Th17_42h_2_7	Th17_48h_1_7	Th17_4h_1_7	Th17_4h_2_7	Th17_50h_1_7	Th17_52h_1_7	Th17_52h_2_7	Th17_60h_1_7	Th17_60h_2_7	Th17_6h_1_7	Th17_72h_1_7	Th17_8h_1_7
0610007p14rik	2.2597	2.9245	2.8698	 2.969	2.9501	2.1494	2.9946	2.9161	2.9992	2.1254	1.9444	2.9374	2.9055	 2.923	3.1207	3.2739	3.2504	2.4079	3.1629	3.2489	3.0773	2.9617	3.1216	2.7644	2.6801	2.3539	 2.849	2.9538	2.9396	3.0079	3.0011	2.2387	3.0516	2.9954	3.0331	2.0556	1.8705	2.9656	2.9902	3.0731	3.1209	3.3322	3.0347	2.4904	2.9929	3.1997	3.0413	2.8454	2.9066	2.8082	2.7471	2.4699	2.8114	2.8102	2.8813	2.9866	2.3131	2.3102	3.0032	2.9899	3.0258	2.1883	2.9413	2.8863	2.9717	2.9132	 2.987	2.5525	 2.502	3.0429	3.0075	2.9619	2.9896	2.9786	2.7042	2.9446	2.7912	2.4738	2.8435	2.8487	3.0071	3.1475	2.2521	2.3246	3.1546	 3.177	3.2261	 2.201	 3.112	3.0606	3.0656	3.0171	3.1302	2.5432	2.4981	3.1214	3.1155	3.0517	  2.99	3.0188	2.7998	3.1154	2.8993
0610012g03rik	2.8009	 2.868	2.9115	2.9299	2.9261	2.8165	2.8506	2.9007	2.8138	2.7466	2.6855	2.8117	2.7079	2.7988	  2.77	2.7649	2.8003	2.6156	2.8659	2.8773	 2.909	2.9094	2.8818	 2.901	2.9431	2.7988	2.9281	2.8949	2.9303	2.9475	2.9043	2.8025	2.8779	2.8819	2.9046	2.6916	2.6633	2.8432	2.8041	2.8284	 2.798	 2.818	2.8142	 2.722	2.8789	2.9154	3.0259	3.0172	3.0476	2.8397	2.8564	2.7909	2.8814	2.9391	2.8998	2.9328	2.6611	2.7134	2.8908	2.9036	2.8974	2.7109	2.8424	2.8001	2.7927	2.7697	2.8176	2.6247	2.7445	2.7799	2.8012	2.8405	2.7757	2.8392	2.8251	 2.805	2.8794	2.7359	2.8889	2.9018	2.9346	2.9462	2.6354	2.6865	 2.993	2.9668	3.0377	2.6679	2.9103	2.9702	2.9387	2.9335	2.9682	2.7069	2.7028	 2.974	2.9629	3.0136	3.0925	3.0283	2.7989	3.0563	2.9192
1190002n15rik	2.1374	1.9329	2.0402	1.9482	1.9089	2.1644	 2.101	1.9119	 2.036	1.9787	1.9438	1.9071	2.0827	2.1768	2.1637	2.1779	2.5003	1.7966	2.0306	2.1066	2.1565	2.1431	1.9781	 1.947	1.6607	2.0767	1.8626	2.0024	1.9965	2.0519	2.0057	2.2053	2.1238	2.0055	2.1339	  1.92	1.6609	2.0727	2.1224	2.2764	2.3056	2.1709	2.3537	1.9484	2.3093	2.2734	2.3442	2.4693	2.2349	2.0601	1.9244	2.0561	1.8785	2.0381	1.8534	1.7412	2.2239	 2.267	 2.021	2.1115	2.0727	1.9906	2.0125	2.0997	2.0091	 2.147	1.9883	2.0174	1.9522	2.0767	2.0592	2.1027	2.0543	2.1153	1.9115	 1.958	1.9512	2.1072	2.0231	2.0221	2.0146	2.0872	2.0975	2.2181	2.2795	 2.222	2.2894	1.9494	2.3194	2.2968	2.3821	 2.325	2.4705	2.1126	2.0597	2.4014	2.4351	2.4373	2.3648	 2.454	2.0648	2.5197	2.0572
1500010j02rik	1.7977	 2.059	 1.979	1.9845	2.0097	1.8359	2.0592	2.2099	2.1918	 1.749	1.6652	2.2181	2.1837	2.2202	2.3146	2.2841	2.4727	1.7359	2.4173	2.4893	2.4135	2.4444	2.3774	 1.844	1.6115	  1.84	1.9112	1.9636	1.8787	1.9024	1.8887	1.8397	1.9491	1.9554	2.0777	1.5967	1.7064	2.2491	2.2263	2.2363	2.2554	2.2959	2.2776	1.6644	2.3194	2.3702	2.3368	2.2513	2.2415	1.8338	1.8113	1.7652	2.1263	2.1056	1.9122	 2.069	1.8259	1.7718	2.1891	2.1768	2.2731	1.8742	 2.328	2.3515	2.2438	2.2514	2.2969	1.8247	 1.808	2.2306	2.3197	2.3656	2.3356	2.3239	1.8084	2.3389	1.8395	1.8463	2.2164	2.0776	1.9662	1.9439	1.9036	1.8303	2.0597	2.0521	2.2155	1.8303	2.3011	2.4029	2.0977	2.1284	 2.136	1.8122	1.8293	2.1405	2.1266	2.1264	2.2412	2.1992	1.8236	2.2151	1.9458
1700081l11rik	2.0922	 1.526	1.5125	1.5671	1.6353	2.0875	  1.47	1.5742	 1.454	 2.101	 2.086	1.5362	 1.529	1.4903	1.4613	1.4686	1.4966	1.8805	1.4965	1.4787	1.3718	1.5326	1.4417	1.6879	1.9187	 2.082	1.7402	1.5993	1.5006	1.5102	1.4997	2.0154	1.4767	1.5579	1.4186	2.1053	1.8007	1.5607	1.4895	1.5228	1.5713	1.4593	1.4483	1.6615	1.3986	1.4761	1.5258	1.4316	1.4831	1.6899	1.6353	1.8867	 1.768	1.6965	1.6594	1.6052	1.8168	1.8804	1.5354	1.6049	1.5907	1.6794	1.5977	1.5117	1.5995	1.5012	1.6327	1.4019	1.6376	1.5683	1.5023	1.5505	1.6188	1.5613	1.7359	1.6133	1.6607	1.6569	1.6813	1.5991	1.7262	1.5635	1.5143	1.7869	1.5578	1.5427	1.5088	1.6696	1.5733	 1.587	1.5124	  1.46	1.5542	1.5071	1.6081	1.5449	1.5541	1.5337	 1.516	1.4812	1.7482	1.4792	1.6002
2010002n04rik	1.3476	 2.005	1.3254	1.4965	1.9058	1.6549	1.5058	 1.598	1.3629	1.8184	1.9523	1.6093	1.4556	1.3663	1.5133	1.6268	2.2915	2.1443	1.6897	1.8088	1.6002	1.6418	1.8143	2.0544	2.1099	1.3847	1.9166	2.1984	1.6351	1.7931	2.3006	1.4161	1.5796	2.0382	1.6354	1.7934	2.0146	1.5132	 1.611	1.7037	1.8652	2.0469	2.0058	2.4645	 1.955	2.2648	1.9066	1.7688	1.9794	2.2025	2.3014	1.1803	2.2684	2.1384	 1.902	 1.713	1.2988	1.3971	1.3278	1.3991	1.5365	2.1093	1.2887	  1.52	1.5919	1.6037	1.4931	2.4059	2.3598	1.6245	1.6062	1.6679	 1.764	1.7036	2.2103	 1.622	2.0625	1.2004	3.0331	3.0017	2.8209	2.8791	 1.385	 1.599	2.8286	2.8362	3.0573	2.5602	3.0442	2.9501	2.9751	2.9471	2.6839	3.1544	3.0965	2.8258	2.6425	 2.843	2.9672	2.8265	3.0941	2.7478	2.9859
2010109k11rik	2.1008	2.0354	2.0505	2.0582	1.9949	 2.087	2.1014	2.0079	2.0673	2.1536	1.9703	2.0499	2.1111	2.0394	2.0649	2.1395	1.8641	2.0514	2.0464	2.0949	2.0328	1.7625	2.1381	1.9521	1.9771	2.1073	 2.042	 2.075	2.1215	2.0768	2.0073	2.0671	2.1412	2.0691	2.1656	2.2069	1.8687	2.0937	2.1199	2.1803	2.0971	 2.228	2.1281	2.0506	2.0961	2.1742	1.9436	2.0172	1.8536	2.0884	2.0566	2.0694	1.9989	2.0757	1.9668	1.9203	2.1282	2.0899	1.9858	2.0831	2.0906	2.0862	2.0558	2.0657	2.1007	2.1238	2.0315	1.9427	1.9404	 2.067	 2.068	2.1221	2.0762	2.1038	1.9381	1.9907	2.0165	2.0944	2.0632	2.0953	2.0837	2.0231	2.0727	2.1412	2.0096	 2.107	 2.096	2.0446	2.0527	2.0825	2.2118	2.0889	2.2415	2.0338	2.0368	2.2054	2.2533	2.2088	2.1615	2.1775	2.1209	2.4057	2.0913
2310004i24rik	2.3606	2.5635	2.5144	2.5774	2.5832	 2.436	2.4733	2.5241	2.4351	2.5061	2.4745	2.4474	2.4231	2.4852	2.5837	2.6023	2.6275	2.2905	2.6981	2.7182	2.7744	2.7874	2.7569	2.5251	2.4307	 2.393	2.5834	2.5993	2.5526	 2.593	2.6156	2.4672	2.5477	2.6277	2.5405	2.5379	2.4983	2.6371	2.5948	2.8364	2.9606	2.9628	2.9867	2.3849	3.0085	3.0514	3.0134	2.8599	3.0076	2.5231	2.4747	2.5722	 2.574	2.5729	2.5763	2.4943	2.5247	2.4933	2.4668	 2.554	2.4614	 2.613	2.5241	2.4781	2.5118	2.4659	2.5572	2.4978	2.5083	2.5893	2.5949	2.5634	2.5396	2.5886	2.4479	2.5938	2.5283	2.5786	2.6386	2.5937	2.6398	2.6151	2.4997	2.4833	2.6312	2.6229	2.6074	2.6151	2.6562	 2.641	2.7005	2.6335	 2.797	2.5852	2.5562	2.8137	2.8649	2.7859	2.8071	2.7728	2.5384	2.9448	2.5687
2310008h04rik	1.8065	1.8376	1.8789	1.9511	1.7942	1.7107	1.9391	1.7759	2.0222	1.6281	1.3275	 1.888	 1.942	1.8653	1.9737	2.0156	2.3829	1.6988	1.9759	1.9944	2.0016	2.1317	1.9534	  1.76	1.8097	1.8193	1.7219	1.8501	1.9244	1.8677	1.7718	1.7832	1.9655	1.6989	1.9898	1.6277	1.3145	1.8865	1.8637	1.8675	1.9748	2.0819	2.0336	1.5887	2.1462	2.2101	2.1497	2.2262	2.2166	 1.806	  1.68	1.7396	1.8322	 1.726	1.8773	1.8792	1.7674	1.7135	2.0002	1.9988	2.0484	1.5705	1.9957	2.0317	1.9331	1.9087	1.9749	1.7501	1.7069	1.9284	1.8841	1.9012	1.9714	1.8763	1.6267	1.8688	1.7292	1.8345	1.8429	1.7603	1.8481	1.8953	1.8604	1.8229	1.9294	1.9479	2.0731	1.5501	2.0823	2.0406	1.9175	1.8767	1.9908	1.6888	1.5474	1.9071	1.9229	1.8831	1.9956	1.9592	1.6621	2.1642	1.8163
2310033p09rik	2.1545	2.3083	2.3475	2.2614	2.3123	2.2686	2.4069	2.3173	2.3396	2.2276	2.3325	 2.299	2.2919	2.2716	2.2288	2.1626	  2.16	2.2879	2.0907	2.0436	2.0788	 1.922	2.0081	2.3321	2.2308	2.1535	2.1886	2.2126	2.2013	2.2661	2.2073	2.2391	2.2268	2.2539	2.2477	2.2553	 2.199	2.2418	2.2395	2.1976	2.0941	2.0371	2.1054	2.2885	2.0632	1.9547	2.0255	2.0372	 1.802	2.2443	2.1478	2.1614	2.1196	2.1924	2.2224	2.2137	2.2816	2.1904	2.2789	2.3005	2.2675	2.3293	2.2693	2.2538	 2.224	2.1677	 2.202	2.3946	2.3775	2.1718	2.1425	2.1857	2.1522	2.1485	2.2743	2.1552	2.2297	2.1489	2.0881	2.0636	2.1318	2.0902	2.1978	2.1351	 2.201	 2.155	2.1681	2.2344	2.1505	2.1477	2.0826	2.0176	2.0397	2.3054	2.2752	2.0909	2.0556	2.1045	2.0139	2.0446	2.2545	1.9137	2.1407
